culture,count,mean_age,std_age,ci_95,pi_95,ci_lower,ci_upper,pi_lower,pi_upper
Pakistan (ancient region of Gandhara),192,1824.2239583333333,281.99843460439257,39.88890867182529,552.7169318246094,1784.335049661508,1864.1128670051585,1271.5070265087238,2376.9408901579427
possibly German,189,235.33862433862433,135.56894155786114,19.32793136007823,265.71512545340784,216.0106929785461,254.66655569870255,-30.37650111478351,501.05374979203214
"Chinese, for British market",187,192.12299465240642,28.42573526564339,4.074243441719409,55.71444112066104,188.04875121068702,196.19723809412582,136.40855353174538,247.83743577306745
Nasca,184,1791.1684782608695,310.63896582428583,44.88519244348561,608.8523730156003,1746.2832858173838,1836.0536707043552,1182.3161052452692,2400.02085127647
"East Greek/Sardis, Lydian",180,2837.972222222222,111.83969126620687,16.338635280583432,219.20579488176546,2821.633586941639,2854.3108575028054,2618.7664273404566,3057.1780171039877
Indonesia,176,2125.5511363636365,672.8225218744974,99.40317538396494,1318.732142874015,2026.1479609796716,2224.9543117476014,806.8189934896216,3444.283279237651
possibly British,173,201.21965317919074,123.75340383336587,18.441242246167647,242.5566715133971,182.7784109330231,219.66089542535838,-41.33701833420636,443.7763246925879
Italic,172,2543.0581395348836,274.19007172112623,40.97732205812877,537.4125405734075,2502.080817476755,2584.0354615930123,2005.645598961476,3080.470680108291
"Italian, Genoa",167,316.10179640718565,81.14739190892678,12.307572475261315,159.0488881414965,303.7942239319243,328.409368882447,157.05290826568915,475.15068454868214
Bohemian,167,204.48502994011977,118.28288820457999,17.939889193172633,231.83446088097676,186.54514074694714,222.4249191332924,-27.34943094085699,436.31949082109657
Old Assyrian Trading Colony,165,3800.818181818182,104.96191369226308,16.015696841373543,205.72535083683564,3784.8024849768085,3816.8338786595555,3595.092830981346,4006.5435326550178
Achaemenid,165,2474.690909090909,85.67227816580935,13.072372506814995,167.91766520498632,2461.618536584094,2487.763281597724,2306.7732438859225,2642.6085742958953
Sumerian,164,4646.884146341464,139.65291767747257,21.373919082162494,273.71971864784626,4625.510227259301,4668.258065423626,4373.164427693618,4920.60386498931
Edo peoples,164,343.4878048780488,144.15731385784824,22.063318208757913,282.54833516138257,321.4244866692909,365.5511230868067,60.939469716666224,626.0361400394313
Inca,163,588.0981595092024,38.046302966663994,5.84083221888129,74.57075381466143,582.2573272903212,593.9389917280837,513.527405694541,662.6689133238639
possibly Italian,162,289.28395061728395,151.51149308170807,23.331579578235328,296.9625264401478,265.9523710390486,312.6155301955193,-7.678575822863877,586.2464770574318
probably British,161,198.0,97.17194811261119,15.010115806406663,190.45701830071792,182.98988419359333,213.01011580640667,7.54298169928208,388.4570183007179
"Dutch, Delft",158,210.99367088607596,67.05321556531766,10.455556117797205,131.4243025080226,200.53811476827875,221.44922700387318,79.56936837805335,342.41797339409857
Yoruba peoples,158,174.66455696202533,91.70519164845672,14.299519709681569,179.74217563097517,160.36503725234377,188.9640766717069,-5.077618668949839,354.40673259300047
Parthian,156,2025.0961538461538,138.91927471858378,21.79998924885596,272.2817784484242,2003.2961645972978,2046.8961430950098,1752.8143753977297,2297.377932294578
Italian or Spanish,154,357.6168831168831,116.18962403203311,18.351140376391545,227.7316631027849,339.2657427404916,375.96802349327464,129.88522001409822,585.348546219668
"Greek, Corinthian",153,2578.8823529411766,535.0431357570557,84.78112061679487,1048.684546083829,2494.1012323243817,2663.6634735579714,1530.1978068573476,3627.5668990250056
"Italian, Milan",153,351.9934640522876,103.90408638512088,16.464289123026358,203.6520093148369,335.5291749292613,368.45775317531394,148.3414547374507,555.6454733671245
Mezcala,150,1997.7,45.83113885330152,7.334509762053932,89.82903215247097,1990.365490237946,2005.034509762054,1907.870967847529,2087.529032152471
Egyptian,148,2034.4932432432433,1826.3720906648452,294.2486477051074,3579.6892977030966,1740.2445955381359,2328.741890948351,-1545.1960544598533,5614.18254094634
Persian,146,329.17808219178085,603.2626314887898,97.855686414001,1182.394757718028,231.32239577777983,427.03376860578186,-853.2166755262471,1511.5728399098089
Italian or French,143,293.8181818181818,139.98116756452376,22.943394053750158,274.36308842646656,270.87478776443163,316.761575871932,19.455093391715252,568.1812702446484
"Russian, St. Petersburg",142,152.3450704225352,57.485002148219685,9.455107068148493,112.67060421051058,142.8899633543867,161.8001774906837,39.674466212024626,265.01567463304576
Unknown,141,327.31205673758865,385.30845036804646,63.59969732940031,755.2045627213711,263.7123594081883,390.911754066989,-427.8925059837824,1082.5166194589597
Aymara,138,200.6014492753623,71.88672556009823,11.994032743147514,140.89798209779252,188.6074165322148,212.5954820185098,59.70346717756979,341.49943137315483
"Flemish, Brussels",136,216.9191176470588,54.000007564753766,9.075706397139244,105.84001482691738,207.84341124991957,225.99482404419805,111.07910282014143,322.7591324739762
Tibetan,135,287.0740740740741,182.68534361188225,30.817179890528866,358.0632734792892,256.2568941835452,317.8912539646029,-70.98919940521512,645.1373475533633
"British, Stoke-on-Trent, Staffordshire",135,134.0074074074074,25.00134214197201,4.217474938387442,49.00263059826514,129.78993246901996,138.22488234579487,85.00477680914227,183.01003800567256
Southern German,134,252.3582089552239,88.46981584452988,14.979550982917031,173.40083905527857,237.37865797230685,267.3377599381409,78.95736989994532,425.75904801050245
Dogon peoples,134,262.15671641791045,157.55666623425145,26.67721292312761,308.81106581913286,235.47950349478285,288.8339293410381,-46.65434940122242,570.9677822370434
probably German,133,238.42857142857142,184.75853552736461,31.400369749649013,362.1267296336346,207.02820167892241,269.8289411782204,-123.69815820506321,600.555301062206
"Greek, Boeotian",133,2362.2030075187968,133.11420019636137,22.623231414796923,260.9038323848683,2339.579776104,2384.8262389335937,2101.2991751339287,2623.106839903665
"Chinese, for European market",132,209.3939393939394,55.46565646378067,9.46222483399376,108.71268666901011,199.93171455994565,218.85616422793316,100.6812527249293,318.10662606294954
Peru; central coast (?),131,968.9312977099237,84.6077093086488,14.488731374161805,165.83111024495165,954.4425663357619,983.4200290840855,803.100187464972,1134.7624079548752
"French, Rouen",131,203.15267175572518,63.24147534921426,10.829849378120157,123.95329168445996,192.32282237760504,213.98252113384532,79.19938007126522,327.1059634401851
Nepal (Kathmandu Valley),130,726.3615384615384,338.63249851701823,58.212068290776,663.7196970933558,668.1494701707625,784.5736067523144,62.64184136818267,1390.0812355548942
"German, Saxony",130,255.45384615384614,110.29144699234872,18.959471616940654,216.1712361050035,236.4943745369055,274.4133177707868,39.282610048842656,471.6250822588496
Hungarian,128,199.28125,208.93392458506992,36.195955749035306,409.51049218673705,163.0852942509647,235.4772057490353,-210.22924218673705,608.7917421867371
Wari,126,1361.9920634920634,89.59807998226268,15.64478149763179,175.61223676523483,1346.3472819944316,1377.6368449896952,1186.3798267268285,1537.6043002572983
"Greek, South Italian, Tarentine",126,2804.785714285714,1802.1922454927737,314.6820099609551,3532.2968011658363,2490.1037043247593,3119.467724246669,-727.5110868801221,6337.0825154515505
American or British,125,142.28,51.81147587415423,9.082952194225216,101.5504927133423,133.1970478057748,151.36295219422522,40.72950728665771,243.8304927133423
East Greek,124,2525.733870967742,115.0131918111357,20.243839471256376,225.42585594982597,2505.4900314964857,2545.977710438998,2300.3080150179157,2751.159726917568
Pakistan,123,1779.1951219512196,312.18126456150867,55.17093588636974,611.875278540557,1724.0241860648498,1834.3660578375893,1167.3198434106625,2391.0704004917766
Kuba peoples,114,143.06140350877192,45.279131352818915,8.31192722921563,88.74709745152508,134.7494762795563,151.37333073798754,54.31430605724684,231.808500960297
"French, Limoges",113,321.92035398230087,134.0890656557984,24.723514927755698,262.81456868536486,297.1968390545452,346.64386891005654,59.105785296936006,584.7349226676657
Fon peoples,112,186.10714285714286,13.931852895308769,2.580215264432553,27.306431674805186,183.5269275927103,188.68735812157541,158.80071118233766,213.41357453194806
"Belgian, Brussels",111,99.07207207207207,29.080675155258476,5.410022447716947,56.99812330430661,93.66204962435513,104.48209451978902,42.073948767765465,156.07019537637868
"Minoan, Crete",110,3878.7272727272725,129.01112313120802,24.109426782424052,252.86180133716772,3854.6178459448483,3902.8366995096967,3625.8654713901046,4131.58907406444
Southern and Northern Cheyenne,109,109.0,0.0,0.0,0.0,109.0,109.0,109.0,109.0
possibly Spanish,109,379.651376146789,185.63616227303086,34.85021035968685,363.8468780551405,344.80116578710215,414.50158650647586,15.804498091648497,743.4982542019295
probably Italian,107,261.9252336448598,124.88127954140175,23.662548787351415,244.76730790114743,238.2626848575084,285.5877824322112,17.157925743712383,506.69254154600725
Cambodia,107,667.3644859813085,493.4256532960457,93.49446639980648,967.1142804602496,573.870019581502,760.8589523811149,-299.7497944789411,1634.478766441558
Aztec,106,582.6037735849056,121.87203900151307,23.201027345769262,238.86919644296563,559.4027462391364,605.8048009306749,343.73457714194,821.4729700278713
"French, Lyons",106,162.33018867924528,62.95648106855632,11.985153041107694,123.39470289437038,150.34503563813757,174.315341720353,38.9354857848749,285.72489157361565
African,105,91.45714285714286,61.65256694565937,11.79268193762773,120.83903121349238,79.66446091951512,103.24982479477059,-29.38188835634952,212.29617407063523
Assyro-Babylonian,104,2646.2884615384614,103.85180564378418,19.959674454981183,203.54953906181697,2626.32878708348,2666.2481359934427,2442.7389224766443,2849.8380006002785
"Swiss, Geneva",104,137.5096153846154,64.45198336028098,12.387272401036675,126.32588738615071,125.1223429835787,149.89688778565207,11.183727998464676,263.8355027707661
China or Japan,103,1218.7961165048544,821.7071702925933,158.69181806149768,1610.546053773483,1060.1042984433566,1377.4879345663521,-391.7499372686286,2829.342170278337
French or Italian,101,295.9009900990099,211.3711666689899,41.22314566764893,414.2874866712202,254.67784443136097,337.1241357666588,-118.38649657221032,710.1884767702302
